id,address,x,y,z,stay,timestamp,bs_address,sample_time,sample_batch
4496,03D2C30A,3.038199774237362,0.8559056713566406,1,0,1666596577644,01370022,"2022-10-24,15:29:37",29
4497,03D2C30A,2.7641380044759596,1.2772602312676276,1,0,1666596577915,01370022,"2022-10-24,15:29:38",29
4498,03D2C30A,2.6360499536390947,1.4538229171843304,1,0,1666596578035,01370022,"2022-10-24,15:29:38",29
4499,03D2C30A,2.518752346612459,1.6102373818010427,1,0,1666596578145,01370022,"2022-10-24,15:29:38",29
4500,03D2C30A,2.3760740435001733,1.7878739783789719,1,0,1666596578275,01370022,"2022-10-24,15:29:38",29
4501,03D2C30A,2.226424422031751,1.9535431921217359,1,0,1666596578405,01370022,"2022-10-24,15:29:38",29
4502,03D2C30A,2.194483558468466,2.193755953137786,1,0,1666596578545,01370022,"2022-10-24,15:29:38",29
4503,03D2C30A,2.179733019751208,2.3965672172368877,1,0,1666596578665,01370022,"2022-10-24,15:29:38",29
4504,03D2C30A,2.0610439065757413,2.4894016981722107,1,0,1666596578785,01370022,"2022-10-24,15:29:39",29
4505,03D2C30A,2.0610439065757413,2.4894016981722107,1,1,1666596578905,01370022,"2022-10-24,15:29:39",29
4506,03D2C30A,1.948309029727792,2.746014834084546,1,0,1666596579035,01370022,"2022-10-24,15:29:39",29
4507,03D2C30A,1.824021077431302,2.917811907206774,1,0,1666596579155,01370022,"2022-10-24,15:29:39",29
4508,03D2C30A,1.708778219226865,3.0693565854552673,1,0,1666596579285,01370022,"2022-10-24,15:29:39",29
4509,03D2C30A,1.6234554697128474,3.1752502861592116,1,0,1666596579405,01370022,"2022-10-24,15:29:39",29
4510,03D2C30A,1.551785064475082,3.2639079541379505,1,0,1666596579535,01370022,"2022-10-24,15:29:39",29
4511,03D2C30A,1.4963155177887464,3.4557770009765396,1,0,1666596579655,01370022,"2022-10-24,15:29:39",29
4512,03D2C30A,1.4484681619148971,3.6662305024135913,1,0,1666596579785,01370022,"2022-10-24,15:29:40",29
4513,03D2C30A,1.424014139173358,3.858063378791678,1,0,1666596579905,01370022,"2022-10-24,15:29:40",29
4514,03D2C30A,1.424014139173358,3.858063378791678,1,1,1666596580045,01370022,"2022-10-24,15:29:40",29
4515,03D2C30A,1.320743723548729,4.101922158660882,1,0,1666596580155,01370022,"2022-10-24,15:29:40",29
4516,03D2C30A,1.34075682344143,4.190562683013438,1,0,1666596580275,01370022,"2022-10-24,15:29:40",29
4517,03D2C30A,1.3608053811041083,4.24891346647429,1,0,1666596580385,01370022,"2022-10-24,15:29:40",29
4518,03D2C30A,1.3759932266898816,4.300403886942604,1,0,1666596580505,01370022,"2022-10-24,15:29:40",29
4519,03D2C30A,1.3667225916903336,4.4751297305807425,0.8,0,1666596580625,01370022,"2022-10-24,15:29:40",29
4520,03D2C30A,1.3666845378623296,4.634695188517062,0.8,0,1666596580735,01370022,"2022-10-24,15:29:40",29
4521,03D2C30A,1.3830414564149038,4.836112779481251,0.8,0,1666596580875,01370022,"2022-10-24,15:29:41",29
4522,03D2C30A,1.3830414564149038,4.836112779481251,0.8,1,1666596581015,01370022,"2022-10-24,15:29:41",29
4523,03D2C30A,1.336349799602173,5.060999230044381,0.8,0,1666596581135,01370022,"2022-10-24,15:29:41",29
4524,03D2C30A,1.336349799602173,5.060999230044381,0.8,1,1666596581275,01370022,"2022-10-24,15:29:41",29
4525,03D2C30A,1.2915452264086462,5.276796700562516,0.8,0,1666596581415,01370022,"2022-10-24,15:29:41",29
4526,03D2C30A,1.3510016958560327,5.303226245829399,0.8,0,1666596581545,01370022,"2022-10-24,15:29:41",29
4527,03D2C30A,1.399528588202138,5.319274379588143,0.8,0,1666596581675,01370022,"2022-10-24,15:29:41",29
4528,03D2C30A,1.399528588202138,5.319274379588143,0.8,1,1666596581785,01370022,"2022-10-24,15:29:42",29
4529,03D2C30A,1.3821109840260684,5.475477219534608,0.8,0,1666596581925,01370022,"2022-10-24,15:29:42",29
4530,03D2C30A,-1.0104474502554024,5.300432434891588,0.8,1,1666596674829,01370022,"2022-10-24,15:31:15",30
4531,03D2C30A,-0.8599535923667584,4.823618426353885,0.8,1,1666596674969,01370022,"2022-10-24,15:31:15",30
4532,03D2C30A,-0.7094597344781144,4.346804417816182,0.8,1,1666596675089,01370022,"2022-10-24,15:31:15",30
4533,03D2C30A,-0.269520316658497,4.584403468000597,0.8,1,1666596675229,01370022,"2022-10-24,15:31:15",30
4534,03D2C30A,-0.44432701487403725,4.912475720811489,0.8,0,1666596675359,01370022,"2022-10-24,15:31:15",30
4535,03D2C30A,-0.2625896014006246,4.913056795624944,0.8,0,1666596675480,01370022,"2022-10-24,15:31:15",30
4536,03D2C30A,-0.14324502426877442,4.780814600178574,0.8,0,1666596675620,01370022,"2022-10-24,15:31:15",30
4537,03D2C30A,-0.14287598874539129,4.622212476090657,0.8,0,1666596675769,01370022,"2022-10-24,15:31:15",30
4538,03D2C30A,-0.1443728560628733,4.4859764243871,0.8,0,1666596675899,01370022,"2022-10-24,15:31:16",30
4539,03D2C30A,-0.2740555723828327,4.1438549330831815,0.8,0,1666596676420,01370022,"2022-10-24,15:31:16",30
4540,03D2C30A,-0.30498798832825674,3.979671139919316,0.8,0,1666596676541,01370022,"2022-10-24,15:31:16",30
4541,03D2C30A,-0.33670817352922433,3.813710654433817,0.8,0,1666596676669,01370022,"2022-10-24,15:31:16",30
4542,03D2C30A,-0.3678537059235485,3.65944791196832,0.8,0,1666596676790,01370022,"2022-10-24,15:31:16",30
4543,03D2C30A,-0.4011436595200095,3.5068013205965363,0.8,0,1666596676910,01370022,"2022-10-24,15:31:17",30
