id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
4184,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-884,-2503,-15233,-110,-80,-999,0,NULL,NULL,1666594811420,01370022,"2022-10-24,15:00:55",28
4185,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-582,-2621,-16626,-116,86,-1317,0,NULL,NULL,1666594811561,01370022,"2022-10-24,15:00:55",28
4186,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,255,-1072,-15808,-81,155,-1412,0,NULL,NULL,1666594811688,01370022,"2022-10-24,15:00:55",28
4187,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1316,503,-18990,5,-84,-1220,0,NULL,NULL,1666594811832,01370022,"2022-10-24,15:00:55",28
4188,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1204,832,-12507,-142,255,-815,0,NULL,NULL,1666594811964,01370022,"2022-10-24,15:00:55",28
4189,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1703,-1426,-16830,123,-89,-487,0,NULL,NULL,1666594812079,01370022,"2022-10-24,15:00:55",28
4190,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,409,145,-17323,254,-219,-592,0,NULL,NULL,1666594812216,01370022,"2022-10-24,15:00:55",28
4191,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1903,392,-15460,118,-35,-476,0,NULL,NULL,1666594812348,01370022,"2022-10-24,15:00:56",28
4192,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2269,-1139,-16117,184,-27,-279,0,NULL,NULL,1666594812491,01370022,"2022-10-24,15:00:56",28
4193,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1210,-3169,-18208,193,65,-455,0,NULL,NULL,1666594812731,01370022,"2022-10-24,15:00:56",28
4194,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-704,-3190,-14826,5,238,-505,0,NULL,NULL,1666594812855,01370022,"2022-10-24,15:00:56",28
4195,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-57,-2899,-14724,15,105,-374,1,NULL,NULL,1666594812984,01370022,"2022-10-24,15:00:56",28
4196,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1404,-3310,-15163,53,-67,-90,0,NULL,NULL,1666594813122,01370022,"2022-10-24,15:00:56",28
4197,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3300,-3328,-15864,-9,-57,-90,0,NULL,NULL,1666594813238,01370022,"2022-10-24,15:00:56",28
4198,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2371,-4136,-17511,-39,156,-126,0,NULL,NULL,1666594813370,01370022,"2022-10-24,15:00:57",28
4199,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2736,-1908,-14065,-220,-48,171,0,NULL,NULL,1666594813756,01370022,"2022-10-24,15:00:57",28
4200,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1940,-2121,-15014,-65,-138,40,0,NULL,NULL,1666594813888,01370022,"2022-10-24,15:00:57",28
4201,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3413,-675,-15515,-57,-205,-245,0,NULL,NULL,1666594814025,01370022,"2022-10-24,15:00:57",28
4202,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,4378,1030,-16685,76,-265,-334,0,NULL,NULL,1666594814142,01370022,"2022-10-24,15:00:57",28
4203,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3838,424,-18193,21,-155,-219,0,NULL,NULL,1666594814256,01370022,"2022-10-24,15:00:58",28
4204,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1309,-898,-18539,58,-90,-14,0,NULL,NULL,1666594814400,01370022,"2022-10-24,15:00:58",28
4205,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1762,-1753,-15254,-177,-49,210,0,NULL,NULL,1666594814527,01370022,"2022-10-24,15:00:58",28
4206,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1251,-1841,-15384,-55,-77,267,1,NULL,NULL,1666594814660,01370022,"2022-10-24,15:00:58",28
4207,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3229,-2106,-14918,88,-193,169,0,NULL,NULL,1666594814788,01370022,"2022-10-24,15:00:58",28
4208,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3168,-3414,-16271,-150,-81,261,0,NULL,NULL,1666594814918,01370022,"2022-10-24,15:00:58",28
